ID,Player,Team,Position,Price,Total Points,Game Week
"1Riccioni,M","Riccioni,M",SAR,PR,2100000,13,1
"1Baxter,F","Baxter,F",HAR,PR,3200000,12,1
"1Obano,B","Obano,B",BAT,PR,3200000,12,1
"1Carre,R","Carre,R",SAR,PR,2100000,11.5,1
"1Sela,V","Sela,V",BAT,PR,1000000,11.5,1
"1Woolmore,J","Woolmore,J",BRI,PR,1000000,10.5,1
"1Davison,T","Davison,T",NOR,PR,2500000,10,1
"1Mawi,E","Mawi,E",SAR,PR,1000000,10,1
"1Clarey,A","Clarey,A",SAR,PR,1000000,10,1
"1Griffin,A","Griffin,A",BAT,PR,1000000,9.5,1
"1Iyogun,E","Iyogun,E",NOR,PR,2100000,8,1
"1Chawatama,L","Chawatama,L",BRI,PR,1000000,8,1
"1Kloska,G","Kloska,G",BRI,PR,1000000,7.5,1
"1Millar-Mills,E","Millar-Mills,E",NOR,PR,1000000,7.5,1
"1Fischetti,D","Fischetti,D",NOR,PR,2500000,7,1
"1McIntyre,S","McIntyre,S",SAL,PR,1000000,7,1
"1Grahamslaw,S","Grahamslaw,S",BRI,PR,1000000,7,1
"1Opoku-Fordjour,A","Opoku-Fordjour,A",SAL,PR,3200000,6,1
"1John,W","John,W",SAL,PR,1000000,6,1
"1Rodd,B","Rodd,B",SAL,PR,2700000,5.5,1
"1Els,J","Els,J",HAR,PR,1000000,5.5,1
"1Williams,H","Williams,H",HAR,PR,2000000,5,1
"1Blose,K","Blose,K",EXE,PR,1000000,5,1
"1van Wyk,F","van Wyk,F",BAT,PR,2000000,4.5,1
"1Goodrick-Clarke,W","Goodrick-Clarke,W",EXE,PR,1000000,4,1
"1Streeter,O","Streeter,O",HAR,PR,1000000,4,1
"1Smith,N","Smith,N",LEI,PR,2600000,2.5,1
"1Heyes,J","Heyes,J",LEI,PR,2200000,2,1
"1Haffar,T","Haffar,T",LEI,PR,1000000,2,1
"1Bellamy,H","Bellamy,H",GLO,PR,1000000,2,1
"1McCallum,M","McCallum,M",NEW,PR,1000000,2,1
"1Gotovtsev,K","Gotovtsev,K",GLO,PR,1000000,2,1
"1Hurd,W","Hurd,W",LEI,PR,1000000,2,1
"1Brocklebank,A","Brocklebank,A",NEW,PR,1000000,1.5,1
"1Tchumbadze,B","Tchumbadze,B",EXE,PR,1000000,1.5,1
"1McArthur,A","McArthur,A",GLO,PR,2000000,1.5,1
"1Iosefa-Scott,J","Iosefa-Scott,J",EXE,PR,1000000,1,1
"1Palframan,R","Palframan,R",NEW,PR,1000000,1,1
"1Fasogbon,A","Fasogbon,A",GLO,PR,2200000,0,1
"1Genge,E","Genge,E",BRI,PR,4200000,0,1
"1du Toit,T","du Toit,T",BAT,PR,4100000,0,1
"1de Bruin,L","de Bruin,L",NEW,PR,1000000,0,1
"1Stuart,W","Stuart,W",BAT,PR,3500000,0,1
"1Lahiff,M","Lahiff,M",BRI,PR,2000000,0,1
"1Bello,E","Bello,E",NEW,PR,1000000,0,1
"1Sio,S","Sio,S",EXE,PR,2000000,0,1
"1Rapava-Ruskin,V","Rapava-Ruskin,V",GLO,PR,2500000,0,1
"1Ford-Robinson,J","Ford-Robinson,J",GLO,PR,2000000,0,1
"1Laulala,N","Laulala,N",GLO,PR,2000000,0,1
"1Lamositele,T","Lamositele,T",HAR,PR,2000000,0,1
"1Beaton,H","Beaton,H",SAR,PR,1000000,0,1
"1Kirk,S","Kirk,S",BAT,PR,1000000,0,1
"1Summerfield,M","Summerfield,M",BAT,PR,1000000,0,1
"1Halliwell,J","Halliwell,J",BRI,PR,1000000,0,1
"1Longwell,S","Longwell,S",BRI,PR,1000000,0,1
"1Mona,K","Mona,K",EXE,PR,1000000,0,1
"1Painter,E","Painter,E",EXE,PR,1000000,0,1
"1Roots,J","Roots,J",EXE,PR,1000000,0,1
